  1997 Jan- 6 to Jan-10,
  1997 Aug- 4 to Aug- 8,2.50
  1997 Aug- 4 to Aug- 8,2.38
  1997 Aug-11 to Aug-15,2.53
  1997 Aug-11 to Aug-15,2.56
  1997 Aug-11 to Aug-15,2.45
  1997 Aug-11 to Aug-15,2.57
  1997 Aug-11 to Aug-15,2.53
  1997 Aug-18 to Aug-22,2.56
  1997 Aug-18 to Aug-22,2.61
  1997 Aug-18 to Aug-22,2.62
  1997 Aug-18 to Aug-22,2.45
  1997 Aug-18 to Aug-22,2.47
  1997 Aug-25 to Aug-29,2.53
  1997 Aug-25 to Aug-29,2.58
  1997 Aug-25 to Aug-29,2.51
  1997 Aug-25 to Aug-29,2.57
  1997 Aug-25 to Aug-29,2.69
  1997 Sep- 1 to Sep- 5,
  1997 Sep- 1 to Sep- 5,2.82
  1997 Sep- 1 to Sep- 5,2.86
  1997 Sep- 1 to Sep- 5,2.73
  1997 Sep- 1 to Sep- 5,2.67
  1997 Sep- 8 to Sep-12,2.67
  1997 Sep- 8 to Sep-12,2.74
  1997 Sep- 8 to Sep-12,2.74
  1997 Sep- 8 to Sep-12,2.78
  1997 Sep- 8 to Sep-12,2.86
  1997 Sep-15 to Sep-19,2.88
  1997 Sep-15 to Sep-19,2.83
  1997 Sep-15 to Sep-19,2.75
  1997 Sep-15 to Sep-19,2.84
  1997 Sep-15 to Sep-19,2.94
  1997 Sep-22 to Sep-26,2.98
  1997 Sep-22 to Sep-26,3.09
  1997 Sep-22 to Sep-26,3.03
  1997 Sep-22 to Sep-26,3.05
  1997 Sep-22 to Sep-26,3.24
  1997 Sep-29 to Oct- 3,3.09
  1997 Sep-29 to Oct- 3,2.96
  1997 Sep-29 to Oct- 3,3.08
  1997 Sep-29 to Oct- 3,2.97
  1997 Sep-29 to Oct- 3,2.91
  1997 Oct- 6 to Oct-10,2.96
  1997 Oct- 6 to Oct-10,2.81
  1997 Oct- 6 to Oct-10,2.80
  1997 Oct- 6 to Oct-10,2.80
  1997 Oct- 6 to Oct-10,2.78
  1997 Oct-13 to Oct-17,2.87
  1997 Oct-13 to Oct-17,2.84
  1997 Oct-13 to Oct-17,2.84
  1997 Oct-13 to Oct-17,2.94
  1997 Oct-13 to Oct-17,2.97
  1997 Oct-20 to Oct-24,3.05
  1997 Oct-20 to Oct-24,3.13
  1997 Oct-20 to Oct-24,3.24
  1997 Oct-20 to Oct-24,3.34
  1997 Oct-20 to Oct-24,3.29
  1997 Oct-27 to Oct-31,3.46
  1997 Oct-27 to Oct-31,3.61
  1997 Oct-27 to Oct-31,3.45
  1997 Oct-27 to Oct-31,3.34
  1997 Oct-27 to Oct-31,3.22
  1997 Nov- 3 to Nov- 7,3.23
  1997 Nov- 3 to Nov- 7,3.15
  1997 Nov- 3 to Nov- 7,3.18
  1997 Nov- 3 to Nov- 7,3.20
  1997 Nov- 3 to Nov- 7,3.05
  1997 Nov-10 to Nov-14,3.20
  1997 Nov-10 to Nov-14,3.26
  1997 Nov-10 to Nov-14,3.28
  1997 Nov-10 to Nov-14,3.27
  1997 Nov-10 to Nov-14,3.25
  1997 Nov-17 to Nov-21,3.10
  1997 Nov-17 to Nov-21,3.00
  1997 Nov-17 to Nov-21,2.97
  1997 Nov-17 to Nov-21,2.77
  1997 Nov-17 to Nov-21,2.59
  1997 Nov-24 to Nov-28,2.63
  1997 Nov-24 to Nov-28,2.51
  1997 Nov-24 to Nov-28,2.50
  1997 Nov-24 to Nov-28,
  1997 Nov-24 to Nov-28,
  1997 Dec- 1 to Dec- 5,2.52
  1997 Dec- 1 to Dec- 5,2.61
  1997 Dec- 1 to Dec- 5,2.53
  1997 Dec- 1 to Dec- 5,2.48
  1997 Dec- 1 to Dec- 5,2.42
  1997 Dec- 8 to Dec-12,2.30
  1997 Dec- 8 to Dec-12,2.35
  1997 Dec- 8 to Dec-12,2.45
  1997 Dec- 8 to Dec-12,2.30
  1997 Dec- 8 to Dec-12,2.30
  1997 Dec-15 to Dec-19,2.25
  1997 Dec-15 to Dec-19,2.29
  1997 Dec-15 to Dec-19,2.38
  1997 Dec-15 to Dec-19,2.37
  1997 Dec-15 to Dec-19,2.39
  1997 Dec-22 to Dec-26,2.36
  1997 Dec-22 to Dec-26,2.24
  1997 Dec-22 to Dec-26,2.06
  1997 Dec-22 to Dec-26,
  1997 Dec-22 to Dec-26,2.18
  1997 Dec-29 to Jan- 2,2.33
  1997 Dec-29 to Jan- 2,2.27
  1997 Dec-29 to Jan- 2,2.27
  1997 Dec-29 to Jan- 2,
  1997 Dec-29 to Jan- 2,2.16
  1998 Jan- 5 to Jan- 9,2.05
  1998 Jan- 5 to Jan- 9,2.16
  1998 Jan- 5 to Jan- 9,2.13
  1998 Jan- 5 to Jan- 9,2.11
  1998 Jan- 5 to Jan- 9,2.09
  1998 Jan-12 to Jan-16,2.01
  1998 Jan-12 to Jan-16,2.03
  1998 Jan-12 to Jan-16,2.05
  1998 Jan-12 to Jan-16,2.07
  1998 Jan-12 to Jan-16,2.11
  1998 Jan-19 to Jan-23,
  1998 Jan-19 to Jan-23,2.12
  1998 Jan-19 to Jan-23,2.09
  1998 Jan-19 to Jan-23,2.10
  1998 Jan-19 to Jan-23,2.14
  1998 Jan-26 to Jan-30,2.09
  1998 Jan-26 to Jan-30,2.06
  1998 Jan-26 to Jan-30,2.09
  1998 Jan-26 to Jan-30,2.07
  1998 Jan-26 to Jan-30,2.09
  1998 Feb- 2 to Feb- 6,2.23
  1998 Feb- 2 to Feb- 6,2.27
  1998 Feb- 2 to Feb- 6,2.23
  1998 Feb- 2 to Feb- 6,2.31
  1998 Feb- 2 to Feb- 6,2.35
  1998 Feb- 9 to Feb-13,2.25
  1998 Feb- 9 to Feb-13,2.18
  1998 Feb- 9 to Feb-13,2.21
  1998 Feb- 9 to Feb-13,2.20
  1998 Feb- 9 to Feb-13,2.22
  1998 Feb-16 to Feb-20,
  1998 Feb-16 to Feb-20,2.18
  1998 Feb-16 to Feb-20,2.19
  1998 Feb-16 to Feb-20,2.22
  1998 Feb-16 to Feb-20,2.20
  1998 Feb-23 to Feb-27,2.20
  1998 Feb-23 to Feb-27,2.19
  1998 Feb-23 to Feb-27,2.21
  1998 Feb-23 to Feb-27,2.28
  1998 Feb-23 to Feb-27,2.23
  1998 Mar- 2 to Mar- 6,2.26
  1998 Mar- 2 to Mar- 6,2.24
  1998 Mar- 2 to Mar- 6,2.19
  1998 Mar- 2 to Mar- 6,2.12
  1998 Mar- 2 to Mar- 6,2.10
  1998 Mar- 9 to Mar-13,2.17
  1998 Mar- 9 to Mar-13,2.25
  1998 Mar- 9 to Mar-13,2.25
  1998 Mar- 9 to Mar-13,2.23
  1998 Mar- 9 to Mar-13,2.21
  1998 Mar-16 to Mar-20,2.20
  1998 Mar-16 to Mar-20,2.20
  1998 Mar-16 to Mar-20,2.21
  1998 Mar-16 to Mar-20,2.25
  1998 Mar-16 to Mar-20,2.28
  1998 Mar-23 to Mar-27,2.33
  1998 Mar-23 to Mar-27,2.29
  1998 Mar-23 to Mar-27,2.33
  1998 Mar-23 to Mar-27,2.29
  1998 Mar-23 to Mar-27,2.26
  1998 Mar-30 to Apr- 3,2.32
  1998 Mar-30 to Apr- 3,2.34
  1998 Mar-30 to Apr- 3,2.45
  1998 Mar-30 to Apr- 3,2.43
  1998 Mar-30 to Apr- 3,2.51
  1998 Apr- 6 to Apr-10,2.51
  1998 Apr- 6 to Apr-10,2.51
  1998 Apr- 6 to Apr-10,2.65
  1998 Apr- 6 to Apr-10,2.61
  1998 Apr- 6 to Apr-10,
  1998 Apr-13 to Apr-17,2.52
  1998 Apr-13 to Apr-17,2.42
  1998 Apr-13 to Apr-17,2.48
  1998 Apr-13 to Apr-17,2.48
  1998 Apr-13 to Apr-17,2.40
  1998 Apr-20 to Apr-24,2.40
  1998 Apr-20 to Apr-24,2.46
  1998 Apr-20 to Apr-24,2.46
  1998 Apr-20 to Apr-24,2.35
  1998 Apr-20 to Apr-24,2.31
  1998 Apr-27 to May- 1,2.29
  1998 Apr-27 to May- 1,2.27
  1998 Apr-27 to May- 1,2.29
  1998 Apr-27 to May- 1,2.18
  1998 Apr-27 to May- 1,2.11
  1998 May- 4 to May- 8,2.10
  1998 May- 4 to May- 8,2.19
  1998 May- 4 to May- 8,2.12
  1998 May- 4 to May- 8,2.16
  1998 May- 4 to May- 8,2.11
  1998 May-11 to May-15,2.19
  1998 May-11 to May-15,2.23
