  1997 Jan- 6 to Jan-10, 
  2002 Oct- 7 to Oct-11,3.80
  2002 Oct-14 to Oct-18,4.19
  2002 Oct-14 to Oct-18,4.19
  2002 Oct-14 to Oct-18,4.10
  2002 Oct-14 to Oct-18,4.10
  2002 Oct-14 to Oct-18,4.11
  2002 Oct-21 to Oct-25,4.23
  2002 Oct-21 to Oct-25,4.20
  2002 Oct-21 to Oct-25,4.24
  2002 Oct-21 to Oct-25,4.30
  2002 Oct-21 to Oct-25,4.12
  2002 Oct-28 to Nov- 1,4.16
  2002 Oct-28 to Nov- 1,4.20
  2002 Oct-28 to Nov- 1,4.34
  2002 Oct-28 to Nov- 1,4.39
  2002 Oct-28 to Nov- 1,4.07
  2002 Nov- 4 to Nov- 8,3.94
  2002 Nov- 4 to Nov- 8,3.90
  2002 Nov- 4 to Nov- 8,3.92
  2002 Nov- 4 to Nov- 8,3.90
  2002 Nov- 4 to Nov- 8,3.76
  2002 Nov-11 to Nov-15,3.83
  2002 Nov-11 to Nov-15,3.83
  2002 Nov-11 to Nov-15,3.83
  2002 Nov-11 to Nov-15,3.90
  2002 Nov-11 to Nov-15,3.92
  2002 Nov-18 to Nov-22,4.18
  2002 Nov-18 to Nov-22,4.25
  2002 Nov-18 to Nov-22,4.27
  2002 Nov-18 to Nov-22,4.24
  2002 Nov-18 to Nov-22,4.32
  2002 Nov-25 to Nov-29,4.34
  2002 Nov-25 to Nov-29,4.23
  2002 Nov-25 to Nov-29,4.19
  2002 Nov-25 to Nov-29,
  2002 Nov-25 to Nov-29,
  2002 Dec- 2 to Dec- 6,4.23
  2002 Dec- 2 to Dec- 6,4.35
  2002 Dec- 2 to Dec- 6,4.24
  2002 Dec- 2 to Dec- 6,4.35
  2002 Dec- 2 to Dec- 6,4.39
  2002 Dec- 9 to Dec-13,4.32
  2002 Dec- 9 to Dec-13,4.40
  2002 Dec- 9 to Dec-13,4.63
  2002 Dec- 9 to Dec-13,4.81
  2002 Dec- 9 to Dec-13,5.05
  2002 Dec-16 to Dec-20,5.31
  2002 Dec-16 to Dec-20,5.13
  2002 Dec-16 to Dec-20,4.98
  2002 Dec-16 to Dec-20,5.14
  2002 Dec-16 to Dec-20,5.05
  2002 Dec-23 to Dec-27,5.03
  2002 Dec-23 to Dec-27,5.03
  2002 Dec-23 to Dec-27,
  2002 Dec-23 to Dec-27,4.98
  2002 Dec-23 to Dec-27,4.81
  2002 Dec-30 to Jan- 3,4.74
  2002 Dec-30 to Jan- 3,4.59
  2002 Dec-30 to Jan- 3,
  2002 Dec-30 to Jan- 3,4.93
  2002 Dec-30 to Jan- 3,5.13
  2003 Jan- 6 to Jan-10,4.94
  2003 Jan- 6 to Jan-10,4.89
  2003 Jan- 6 to Jan-10,5.07
  2003 Jan- 6 to Jan-10,5.05
  2003 Jan- 6 to Jan-10,5.19
  2003 Jan-13 to Jan-17,5.23
  2003 Jan-13 to Jan-17,5.25
  2003 Jan-13 to Jan-17,5.21
  2003 Jan-13 to Jan-17,5.50
  2003 Jan-13 to Jan-17,5.66
  2003 Jan-20 to Jan-24,
  2003 Jan-20 to Jan-24,5.47
  2003 Jan-20 to Jan-24,5.72
  2003 Jan-20 to Jan-24,6.55
  2003 Jan-20 to Jan-24,5.91
  2003 Jan-27 to Jan-31,5.91
  2003 Jan-27 to Jan-31,5.52
  2003 Jan-27 to Jan-31,5.61
  2003 Jan-27 to Jan-31,5.76
  2003 Jan-27 to Jan-31,5.58
  2003 Feb- 3 to Feb- 7,5.71
  2003 Feb- 3 to Feb- 7,6.26
  2003 Feb- 3 to Feb- 7,6.22
  2003 Feb- 3 to Feb- 7,6.08
  2003 Feb- 3 to Feb- 7,6.30
  2003 Feb-10 to Feb-14,6.35
  2003 Feb-10 to Feb-14,6.19
  2003 Feb-10 to Feb-14,6.19
  2003 Feb-10 to Feb-14,5.81
  2003 Feb-10 to Feb-14,5.88
  2003 Feb-17 to Feb-21,
  2003 Feb-17 to Feb-21,6.09
  2003 Feb-17 to Feb-21,6.10
  2003 Feb-17 to Feb-21,6.38
  2003 Feb-17 to Feb-21,6.73
  2003 Feb-24 to Feb-28,11.98
  2003 Feb-24 to Feb-28,18.48
  2003 Feb-24 to Feb-28,10.47
  2003 Feb-24 to Feb-28,8.42
  2003 Feb-24 to Feb-28,10.81
  2003 Mar- 3 to Mar- 7,8.51
  2003 Mar- 3 to Mar- 7,7.71
  2003 Mar- 3 to Mar- 7,7.80
  2003 Mar- 3 to Mar- 7,7.57
  2003 Mar- 3 to Mar- 7,7.42
  2003 Mar-10 to Mar-14,6.78
  2003 Mar-10 to Mar-14,6.25
  2003 Mar-10 to Mar-14,5.80
  2003 Mar-10 to Mar-14,5.71
  2003 Mar-10 to Mar-14,5.17
  2003 Mar-17 to Mar-21,5.32
  2003 Mar-17 to Mar-21,5.13
  2003 Mar-17 to Mar-21,5.20
  2003 Mar-17 to Mar-21,5.20
  2003 Mar-17 to Mar-21,5.05
  2003 Mar-24 to Mar-28,5.07
  2003 Mar-24 to Mar-28,5.07
  2003 Mar-24 to Mar-28,4.90
  2003 Mar-24 to Mar-28,4.87
  2003 Mar-24 to Mar-28,5.06
  2003 Mar-31 to Apr- 4,5.01
  2003 Mar-31 to Apr- 4,4.90
  2003 Mar-31 to Apr- 4,4.89
  2003 Mar-31 to Apr- 4,4.91
  2003 Mar-31 to Apr- 4,4.86
  2003 Apr- 7 to Apr-11,4.98
  2003 Apr- 7 to Apr-11,5.21
  2003 Apr- 7 to Apr-11,5.11
  2003 Apr- 7 to Apr-11,5.18
  2003 Apr- 7 to Apr-11,5.28
  2003 Apr-14 to Apr-18,5.29
  2003 Apr-14 to Apr-18,5.53
  2003 Apr-14 to Apr-18,5.62
  2003 Apr-14 to Apr-18,5.54
  2003 Apr-14 to Apr-18,
  2003 Apr-21 to Apr-25,5.55
  2003 Apr-21 to Apr-25,5.58
  2003 Apr-21 to Apr-25,5.58
  2003 Apr-21 to Apr-25,5.46
  2003 Apr-21 to Apr-25,5.39
  2003 Apr-28 to May- 2,5.30
  2003 Apr-28 to May- 2,5.12
  2003 Apr-28 to May- 2,5.25
  2003 Apr-28 to May- 2,5.32
  2003 Apr-28 to May- 2,5.24
  2003 May- 5 to May- 9,5.36
  2003 May- 5 to May- 9,5.64
  2003 May- 5 to May- 9,5.49
  2003 May- 5 to May- 9,5.65
  2003 May- 5 to May- 9,5.73
  2003 May-12 to May-16,5.91
  2003 May-12 to May-16,5.98
  2003 May-12 to May-16,6.17
  2003 May-12 to May-16,6.24
  2003 May-12 to May-16,5.96
  2003 May-19 to May-23,6.08
  2003 May-19 to May-23,5.93
  2003 May-19 to May-23,6.08
  2003 May-19 to May-23,6.09
  2003 May-19 to May-23,5.92
  2003 May-26 to May-30,
  2003 May-26 to May-30,5.84
  2003 May-26 to May-30,5.71
  2003 May-26 to May-30,5.76
  2003 May-26 to May-30,5.99
  2003 Jun- 2 to Jun- 6,6.22
  2003 Jun- 2 to Jun- 6,6.25
  2003 Jun- 2 to Jun- 6,6.40
  2003 Jun- 2 to Jun- 6,6.17
  2003 Jun- 2 to Jun- 6,6.25
  2003 Jun- 9 to Jun-13,6.25
  2003 Jun- 9 to Jun-13,6.08
  2003 Jun- 9 to Jun-13,6.06
  2003 Jun- 9 to Jun-13,5.86
  2003 Jun- 9 to Jun-13,5.44
  2003 Jun-16 to Jun-20,5.45
  2003 Jun-16 to Jun-20,5.66
  2003 Jun-16 to Jun-20,5.53
  2003 Jun-16 to Jun-20,5.53
  2003 Jun-16 to Jun-20,5.68
  2003 Jun-23 to Jun-27,5.89
  2003 Jun-23 to Jun-27,5.84
  2003 Jun-23 to Jun-27,5.64
  2003 Jun-23 to Jun-27,5.49
  2003 Jun-23 to Jun-27,5.19
  2003 Jun-30 to Jul- 4,5.31
  2003 Jun-30 to Jul- 4,5.22
  2003 Jun-30 to Jul- 4,5.05
  2003 Jun-30 to Jul- 4,4.96
  2003 Jun-30 to Jul- 4,
  2003 Jul- 7 to Jul-11,5.20
  2003 Jul- 7 to Jul-11,5.40
  2003 Jul- 7 to Jul-11,5.56
  2003 Jul- 7 to Jul-11,5.40
  2003 Jul- 7 to Jul-11,5.22
  2003 Jul-14 to Jul-18,5.15
  2003 Jul-14 to Jul-18,5.17
  2003 Jul-14 to Jul-18,5.00
  2003 Jul-14 to Jul-18,4.96
  2003 Jul-14 to Jul-18,5.01
  2003 Jul-21 to Jul-25,5.11
  2003 Jul-21 to Jul-25,5.04
  2003 Jul-21 to Jul-25,4.88
  2003 Jul-21 to Jul-25,4.86
  2003 Jul-21 to Jul-25,4.68
  2003 Jul-28 to Aug- 1,4.68
  2003 Jul-28 to Aug- 1,4.72
  2003 Jul-28 to Aug- 1,4.68
  2003 Jul-28 to Aug- 1,4.63
  2003 Jul-28 to Aug- 1,4.71
  2003 Aug- 4 to Aug- 8,4.81
  2003 Aug- 4 to Aug- 8,4.71
  2003 Aug- 4 to Aug- 8,4.74
  2003 Aug- 4 to Aug- 8,4.85
  2003 Aug- 4 to Aug- 8,5.02
  2003 Aug-11 to Aug-15,5.08
  2003 Aug-11 to Aug-15,5.06
  2003 Aug-11 to Aug-15,5.17
  2003 Aug-11 to Aug-15,5.10
  2003 Aug-11 to Aug-15,4.83
  2003 Aug-18 to Aug-22,4.94
  2003 Aug-18 to Aug-22,4.99
  2003 Aug-18 to Aug-22,5.03
  2003 Aug-18 to Aug-22,5.14
  2003 Aug-18 to Aug-22,5.24
  2003 Aug-25 to Aug-29,5.26
  2003 Aug-25 to Aug-29,5.09
  2003 Aug-25 to Aug-29,5.11
  2003 Aug-25 to Aug-29,4.94
  2003 Aug-25 to Aug-29,4.86
  2003 Sep- 1 to Sep- 5,
  2003 Sep- 1 to Sep- 5,4.62
  2003 Sep- 1 to Sep- 5,4.68
  2003 Sep- 1 to Sep- 5,4.70
  2003 Sep- 1 to Sep- 5,4.76
  2003 Sep- 8 to Sep-12,4.82
  2003 Sep- 8 to Sep-12,4.70
  2003 Sep- 8 to Sep-12,4.78
  2003 Sep- 8 to Sep-12,4.85
  2003 Sep- 8 to Sep-12,4.66
  2003 Sep-15 to Sep-19,4.66
  2003 Sep-15 to Sep-19,4.67
  2003 Sep-15 to Sep-19,4.61
  2003 Sep-15 to Sep-19,4.52
  2003 Sep-15 to Sep-19,4.33
  2003 Sep-22 to Sep-26,4.38
  2003 Sep-22 to Sep-26,4.51
  2003 Sep-22 to Sep-26,4.58
  2003 Sep-22 to Sep-26,4.55
  2003 Sep-22 to Sep-26,4.42
  2003 Sep-29 to Oct- 3,4.57
  2003 Sep-29 to Oct- 3,4.66
  2003 Sep-29 to Oct- 3,4.47
  2003 Sep-29 to Oct- 3,4.42
  2003 Sep-29 to Oct- 3,4.34
  2003 Oct- 6 to Oct-10,4.40
  2003 Oct- 6 to Oct-10,4.66
  2003 Oct- 6 to Oct-10,4.84
  2003 Oct- 6 to Oct-10,4.78
  2003 Oct- 6 to Oct-10,4.92
  2003 Oct-13 to Oct-17,4.96
  2003 Oct-13 to Oct-17,4.84
  2003 Oct-13 to Oct-17,4.93
  2003 Oct-13 to Oct-17,4.92
  2003 Oct-13 to Oct-17,4.53
  2003 Oct-20 to Oct-24,4.30
  2003 Oct-20 to Oct-24,4.64
  2003 Oct-20 to Oct-24,4.89
  2003 Oct-20 to Oct-24,4.90
  2003 Oct-20 to Oct-24,4.78
  2003 Oct-27 to Oct-31,4.56
  2003 Oct-27 to Oct-31,4.45
  2003 Oct-27 to Oct-31,4.51
  2003 Oct-27 to Oct-31,4.40
  2003 Oct-27 to Oct-31,3.98
  2003 Nov- 3 to Nov- 7,4.12
  2003 Nov- 3 to Nov- 7,4.01
  2003 Nov- 3 to Nov- 7,4.46
  2003 Nov- 3 to Nov- 7,4.74
  2003 Nov- 3 to Nov- 7,4.48
  2003 Nov-10 to Nov-14,4.42
  2003 Nov-10 to Nov-14,4.52
  2003 Nov-10 to Nov-14,4.77
  2003 Nov-10 to Nov-14,4.60
  2003 Nov-10 to Nov-14,4.62
  2003 Nov-17 to Nov-21,4.49
  2003 Nov-17 to Nov-21,4.35
  2003 Nov-17 to Nov-21,4.46
  2003 Nov-17 to Nov-21,4.35
  2003 Nov-17 to Nov-21,4.15
  2003 Nov-24 to Nov-28,4.57
  2003 Nov-24 to Nov-28,4.49
  2003 Nov-24 to Nov-28,4.86
  2003 Nov-24 to Nov-28,
  2003 Nov-24 to Nov-28,
  2003 Dec- 1 to Dec- 5,5.02
  2003 Dec- 1 to Dec- 5,5.45
  2003 Dec- 1 to Dec- 5,5.45
  2003 Dec- 1 to Dec- 5,5.70
  2003 Dec- 1 to Dec- 5,6.27
  2003 Dec- 8 to Dec-12,6.06
  2003 Dec- 8 to Dec-12,6.52
  2003 Dec- 8 to Dec-12,6.67
  2003 Dec- 8 to Dec-12,6.56
  2003 Dec- 8 to Dec-12,6.73
  2003 Dec-15 to Dec-19,6.63
  2003 Dec-15 to Dec-19,6.58
  2003 Dec-15 to Dec-19,6.56
  2003 Dec-15 to Dec-19,6.98
  2003 Dec-15 to Dec-19,6.92
  2003 Dec-22 to Dec-26,6.32
  2003 Dec-22 to Dec-26,5.58
  2003 Dec-22 to Dec-26,5.50
  2003 Dec-22 to Dec-26,
  2003 Dec-22 to Dec-26,
  2003 Dec-29 to Jan- 2,5.46
  2003 Dec-29 to Jan- 2,5.96
  2003 Dec-29 to Jan- 2,5.76
  2003 Dec-29 to Jan- 2,
  2003 Dec-29 to Jan- 2,
  2004 Jan- 5 to Jan- 9,6.28
  2004 Jan- 5 to Jan- 9,7.04
  2004 Jan- 5 to Jan- 9,6.61
  2004 Jan- 5 to Jan- 9,6.41
  2004 Jan- 5 to Jan- 9,6.91
  2004 Jan-12 to Jan-16,6.29
  2004 Jan-12 to Jan-16,6.26
  2004 Jan-12 to Jan-16,5.73
  2004 Jan-12 to Jan-16,6.02
  2004 Jan-12 to Jan-16,5.43
  2004 Jan-19 to Jan-23,
  2004 Jan-19 to Jan-23,6.15
  2004 Jan-19 to Jan-23,6.26
  2004 Jan-19 to Jan-23,6.03
  2004 Jan-19 to Jan-23,5.82
  2004 Jan-26 to Jan-30,5.70
  2004 Jan-26 to Jan-30,5.87
  2004 Jan-26 to Jan-30,6.04
  2004 Jan-26 to Jan-30,5.99
  2004 Jan-26 to Jan-30,5.80
  2004 Feb- 2 to Feb- 6,5.51
  2004 Feb- 2 to Feb- 6,5.69
  2004 Feb- 2 to Feb- 6,5.74
  2004 Feb- 2 to Feb- 6,5.54
  2004 Feb- 2 to Feb- 6,5.38
  2004 Feb- 9 to Feb-13,5.44
  2004 Feb- 9 to Feb-13,5.49
  2004 Feb- 9 to Feb-13,5.34
  2004 Feb- 9 to Feb-13,5.35
  2004 Feb- 9 to Feb-13,5.62
  2004 Feb-16 to Feb-20,
  2004 Feb-16 to Feb-20,5.43
  2004 Feb-16 to Feb-20,5.33
  2004 Feb-16 to Feb-20,5.28
  2004 Feb-16 to Feb-20,5.19
  2004 Feb-23 to Feb-27,5.10
  2004 Feb-23 to Feb-27,5.08
  2004 Feb-23 to Feb-27,5.10
  2004 Feb-23 to Feb-27,5.13
  2004 Feb-23 to Feb-27,5.27
  2004 Mar- 1 to Mar- 5,5.17
  2004 Mar- 1 to Mar- 5,5.37
  2004 Mar- 1 to Mar- 5,5.34
  2004 Mar- 1 to Mar- 5,5.17
  2004 Mar- 1 to Mar- 5,5.32
  2004 Mar- 8 to Mar-12,5.42
  2004 Mar- 8 to Mar-12,5.34
  2004 Mar- 8 to Mar-12,5.33
  2004 Mar- 8 to Mar-12,5.33
  2004 Mar- 8 to Mar-12,5.52
  2004 Mar-15 to Mar-19,5.59
  2004 Mar-15 to Mar-19,5.60
  2004 Mar-15 to Mar-19,5.61
  2004 Mar-15 to Mar-19,5.63
  2004 Mar-15 to Mar-19,5.49
  2004 Mar-22 to Mar-26,5.46
  2004 Mar-22 to Mar-26,5.36
  2004 Mar-22 to Mar-26,5.35
  2004 Mar-22 to Mar-26,5.22
  2004 Mar-22 to Mar-26,5.16
  2004 Mar-29 to Apr- 2,5.25
  2004 Mar-29 to Apr- 2,5.40
  2004 Mar-29 to Apr- 2,5.63
  2004 Mar-29 to Apr- 2,5.82
  2004 Mar-29 to Apr- 2,5.69
  2004 Apr- 5 to Apr- 9,5.81
  2004 Apr- 5 to Apr- 9,5.70
  2004 Apr- 5 to Apr- 9,5.76
  2004 Apr- 5 to Apr- 9,5.84
  2004 Apr- 5 to Apr- 9,
  2004 Apr-12 to Apr-16,5.85
  2004 Apr-12 to Apr-16,5.92
  2004 Apr-12 to Apr-16,5.73
  2004 Apr-12 to Apr-16,5.68
  2004 Apr-12 to Apr-16,5.62
  2004 Apr-19 to Apr-23,5.57
  2004 Apr-19 to Apr-23,5.46
  2004 Apr-19 to Apr-23,5.52
  2004 Apr-19 to Apr-23,5.59
  2004 Apr-19 to Apr-23,5.53
  2004 Apr-26 to Apr-30,5.60
  2004 Apr-26 to Apr-30,5.81
  2004 Apr-26 to Apr-30,5.80
  2004 Apr-26 to Apr-30,5.78
  2004 Apr-26 to Apr-30,5.81
  2004 May- 3 to May- 7,5.80
  2004 May- 3 to May- 7,6.21
  2004 May- 3 to May- 7,6.09
  2004 May- 3 to May- 7,6.22
  2004 May- 3 to May- 7,6.18
  2004 May-10 to May-14,6.14
  2004 May-10 to May-14,6.24
  2004 May-10 to May-14,6.41
  2004 May-10 to May-14,6.42
  2004 May-10 to May-14,6.43
  2004 May-17 to May-21,6.41
  2004 May-17 to May-21,6.28
  2004 May-17 to May-21,6.18
  2004 May-17 to May-21,6.44
  2004 May-17 to May-21,6.35
  2004 May-24 to May-28,6.48
  2004 May-24 to May-28,6.73
  2004 May-24 to May-28,6.70
  2004 May-24 to May-28,6.51
  2004 May-24 to May-28,6.45
  2004 May-31 to Jun- 4,
  2004 May-31 to Jun- 4,6.45
  2004 May-31 to Jun- 4,6.51
  2004 May-31 to Jun- 4,6.44
  2004 May-31 to Jun- 4,6.15
  2004 Jun- 7 to Jun-11,6.09
  2004 Jun- 7 to Jun-11,6.19
  2004 Jun- 7 to Jun-11,6.04
  2004 Jun- 7 to Jun-11,6.00
  2004 Jun- 7 to Jun-11,
  2004 Jun-14 to Jun-18,6.15
  2004 Jun-14 to Jun-18,6.35
  2004 Jun-14 to Jun-18,6.38
  2004 Jun-14 to Jun-18,6.57
  2004 Jun-14 to Jun-18,6.48
  2004 Jun-21 to Jun-25,6.42
  2004 Jun-21 to Jun-25,6.29
  2004 Jun-21 to Jun-25,6.30
  2004 Jun-21 to Jun-25,6.41
  2004 Jun-21 to Jun-25,6.28
  2004 Jun-28 to Jul- 2,6.13
  2004 Jun-28 to Jul- 2,6.02
  2004 Jun-28 to Jul- 2,6.03
  2004 Jun-28 to Jul- 2,5.95
  2004 Jun-28 to Jul- 2,5.88
  2004 Jul- 5 to Jul- 9,
  2004 Jul- 5 to Jul- 9,6.16
  2004 Jul- 5 to Jul- 9,6.27
  2004 Jul- 5 to Jul- 9,6.19
  2004 Jul- 5 to Jul- 9,5.89
  2004 Jul-12 to Jul-16,5.95
  2004 Jul-12 to Jul-16,5.85
  2004 Jul-12 to Jul-16,5.91
  2004 Jul-12 to Jul-16,5.92
  2004 Jul-12 to Jul-16,5.77
  2004 Jul-19 to Jul-23,5.75
  2004 Jul-19 to Jul-23,5.80
  2004 Jul-19 to Jul-23,5.90
  2004 Jul-19 to Jul-23,5.85
  2004 Jul-19 to Jul-23,5.98
  2004 Jul-26 to Jul-30,5.94
  2004 Jul-26 to Jul-30,5.87
  2004 Jul-26 to Jul-30,5.77
  2004 Jul-26 to Jul-30,5.93
  2004 Jul-26 to Jul-30,6.03
  2004 Aug- 2 to Aug- 6,5.86
  2004 Aug- 2 to Aug- 6,5.77
  2004 Aug- 2 to Aug- 6,5.70
  2004 Aug- 2 to Aug- 6,5.54
  2004 Aug- 2 to Aug- 6,5.42
  2004 Aug- 9 to Aug-13,5.58
  2004 Aug- 9 to Aug-13,5.78
  2004 Aug- 9 to Aug-13,5.64
  2004 Aug- 9 to Aug-13,5.46
  2004 Aug- 9 to Aug-13,5.27
  2004 Aug-16 to Aug-20,5.34
  2004 Aug-16 to Aug-20,5.27
  2004 Aug-16 to Aug-20,5.36
  2004 Aug-16 to Aug-20,5.34
  2004 Aug-16 to Aug-20,5.39
  2004 Aug-23 to Aug-27,5.34
  2004 Aug-23 to Aug-27,5.23
  2004 Aug-23 to Aug-27,5.32
  2004 Aug-23 to Aug-27,5.19
  2004 Aug-23 to Aug-27,5.05
  2004 Aug-30 to Sep- 3,5.05
  2004 Aug-30 to Sep- 3,5.04
  2004 Aug-30 to Sep- 3,5.02
  2004 Aug-30 to Sep- 3,4.75
  2004 Aug-30 to Sep- 3,4.32
  2004 Sep- 6 to Sep-10,
  2004 Sep- 6 to Sep-10,4.41
  2004 Sep- 6 to Sep-10,4.69
  2004 Sep- 6 to Sep-10,4.57
  2004 Sep- 6 to Sep-10,4.57
  2004 Sep-13 to Sep-17,5.12
  2004 Sep-13 to Sep-17,5.15
  2004 Sep-13 to Sep-17,5.17
  2004 Sep-13 to Sep-17,4.82
  2004 Sep-13 to Sep-17,4.95
  2004 Sep-20 to Sep-24,5.22
  2004 Sep-20 to Sep-24,5.43
  2004 Sep-20 to Sep-24,5.58
  2004 Sep-20 to Sep-24,5.58
  2004 Sep-20 to Sep-24,5.41
  2004 Sep-27 to Oct- 1,5.22
  2004 Sep-27 to Oct- 1,5.45
  2004 Sep-27 to Oct- 1,6.26
  2004 Sep-27 to Oct- 1,6.36
  2004 Sep-27 to Oct- 1,5.38
  2004 Oct- 4 to Oct- 8,5.72
  2004 Oct- 4 to Oct- 8,6.07
  2004 Oct- 4 to Oct- 8,6.00
  2004 Oct- 4 to Oct- 8,6.24
  2004 Oct- 4 to Oct- 8,5.59
  2004 Oct-11 to Oct-15,5.63
  2004 Oct-11 to Oct-15,5.63
  2004 Oct-11 to Oct-15,5.38
  2004 Oct-11 to Oct-15,5.76
  2004 Oct-11 to Oct-15,5.64
  2004 Oct-18 to Oct-22,5.64
  2004 Oct-18 to Oct-22,6.13
  2004 Oct-18 to Oct-22,7.27
  2004 Oct-18 to Oct-22,7.35
  2004 Oct-18 to Oct-22,7.11
  2004 Oct-25 to Oct-29,7.75
  2004 Oct-25 to Oct-29,7.78
  2004 Oct-25 to Oct-29,8.12
  2004 Oct-25 to Oct-29,6.80
  2004 Oct-25 to Oct-29,6.43
  2004 Nov- 1 to Nov- 5,6.98
  2004 Nov- 1 to Nov- 5,6.88
  2004 Nov- 1 to Nov- 5,7.25
  2004 Nov- 1 to Nov- 5,7.40
  2004 Nov- 1 to Nov- 5,6.08
  2004 Nov- 8 to Nov-12,6.62
  2004 Nov- 8 to Nov-12,5.79
  2004 Nov- 8 to Nov-12,6.12
  2004 Nov- 8 to Nov-12,6.19
  2004 Nov- 8 to Nov-12,5.90
  2004 Nov-15 to Nov-19,6.02
  2004 Nov-15 to Nov-19,6.57
  2004 Nov-15 to Nov-19,6.06
  2004 Nov-15 to Nov-19,5.59
  2004 Nov-15 to Nov-19,4.81
  2004 Nov-22 to Nov-26,5.24
  2004 Nov-22 to Nov-26,5.24
  2004 Nov-22 to Nov-26,5.01
  2004 Nov-22 to Nov-26,
  2004 Nov-22 to Nov-26,
  2004 Nov-29 to Dec- 3,6.76
  2004 Nov-29 to Dec- 3,6.79
  2004 Nov-29 to Dec- 3,6.78
  2004 Nov-29 to Dec- 3,6.69
  2004 Nov-29 to Dec- 3,6.04
  2004 Dec- 6 to Dec-10,6.05
  2004 Dec- 6 to Dec-10,6.03
  2004 Dec- 6 to Dec-10,5.98
  2004 Dec- 6 to Dec-10,6.04
  2004 Dec- 6 to Dec-10,6.29
  2004 Dec-13 to Dec-17,6.89
  2004 Dec-13 to Dec-17,7.10
  2004 Dec-13 to Dec-17,7.04
  2004 Dec-13 to Dec-17,6.88
  2004 Dec-13 to Dec-17,7.26
  2004 Dec-20 to Dec-24,7.14
  2004 Dec-20 to Dec-24,6.83
  2004 Dec-20 to Dec-24,7.05
  2004 Dec-20 to Dec-24,6.98
  2004 Dec-20 to Dec-24,
  2004 Dec-27 to Dec-31,6.57
  2004 Dec-27 to Dec-31,6.27
  2004 Dec-27 to Dec-31,6.18
  2004 Dec-27 to Dec-31,6.02
  2004 Dec-27 to Dec-31,
  2005 Jan- 3 to Jan- 7,5.53
  2005 Jan- 3 to Jan- 7,5.71
  2005 Jan- 3 to Jan- 7,5.84
  2005 Jan- 3 to Jan- 7,5.79
  2005 Jan- 3 to Jan- 7,5.82
  2005 Jan-10 to Jan-14,6.21
  2005 Jan-10 to Jan-14,5.96
  2005 Jan-10 to Jan-14,5.89
  2005 Jan-10 to Jan-14,6.06
  2005 Jan-10 to Jan-14,6.45
  2005 Jan-17 to Jan-21,
  2005 Jan-17 to Jan-21,6.69
  2005 Jan-17 to Jan-21,6.19
  2005 Jan-17 to Jan-21,6.27
  2005 Jan-17 to Jan-21,6.43
  2005 Jan-24 to Jan-28,6.41
  2005 Jan-24 to Jan-28,6.44
  2005 Jan-24 to Jan-28,6.44
  2005 Jan-24 to Jan-28,6.50
  2005 Jan-24 to Jan-28,6.23
  2005 Jan-31 to Feb- 4,6.14
  2005 Jan-31 to Feb- 4,6.28
  2005 Jan-31 to Feb- 4,6.38
  2005 Jan-31 to Feb- 4,6.32
  2005 Jan-31 to Feb- 4,6.12
  2005 Feb- 7 to Feb-11,6.02
  2005 Feb- 7 to Feb-11,5.95
  2005 Feb- 7 to Feb-11,6.20
  2005 Feb- 7 to Feb-11,6.21
  2005 Feb- 7 to Feb-11,6.02
  2005 Feb-14 to Feb-18,5.95
  2005 Feb-14 to Feb-18,6.01
  2005 Feb-14 to Feb-18,6.10
  2005 Feb-14 to Feb-18,6.05
  2005 Feb-14 to Feb-18,5.88
  2005 Feb-21 to Feb-25,
  2005 Feb-21 to Feb-25,5.92
  2005 Feb-21 to Feb-25,6.02
  2005 Feb-21 to Feb-25,6.33
  2005 Feb-21 to Feb-25,6.24
  2005 Feb-28 to Mar- 4,6.62
  2005 Feb-28 to Mar- 4,6.63
  2005 Feb-28 to Mar- 4,6.61
  2005 Feb-28 to Mar- 4,6.71
  2005 Feb-28 to Mar- 4,6.51
  2005 Mar- 7 to Mar-11,6.66
  2005 Mar- 7 to Mar-11,6.81
  2005 Mar- 7 to Mar-11,6.99
  2005 Mar- 7 to Mar-11,6.91
  2005 Mar- 7 to Mar-11,6.73
  2005 Mar-14 to Mar-18,6.86
  2005 Mar-14 to Mar-18,7.16
  2005 Mar-14 to Mar-18,7.08
  2005 Mar-14 to Mar-18,7.25
  2005 Mar-14 to Mar-18,7.12
  2005 Mar-21 to Mar-25,7.16
  2005 Mar-21 to Mar-25,7.24
  2005 Mar-21 to Mar-25,7.11
  2005 Mar-21 to Mar-25,7.07
  2005 Mar-21 to Mar-25,
  2005 Mar-28 to Apr- 1,6.94
  2005 Mar-28 to Apr- 1,6.93
  2005 Mar-28 to Apr- 1,7.18
  2005 Mar-28 to Apr- 1,7.46
  2005 Mar-28 to Apr- 1,7.57
  2005 Apr- 4 to Apr- 8,7.80
  2005 Apr- 4 to Apr- 8,7.44
  2005 Apr- 4 to Apr- 8,7.46
  2005 Apr- 4 to Apr- 8,7.50
  2005 Apr- 4 to Apr- 8,7.26
  2005 Apr-11 to Apr-15,7.17
  2005 Apr-11 to Apr-15,7.34
  2005 Apr-11 to Apr-15,7.07
  2005 Apr-11 to Apr-15,7.02
  2005 Apr-11 to Apr-15,6.95
  2005 Apr-18 to Apr-22,6.95
  2005 Apr-18 to Apr-22,6.95
  2005 Apr-18 to Apr-22,7.10
  2005 Apr-18 to Apr-22,6.93
